stock,client_name,exchange,deal_type,action,date,avg_price,quantity,percentage_traded
Thinkink Picturez Ltd.,BOFA SECURITIES EUROPE SA,BSE,Bulk,Purchase,04-04-2024,41.76,300000,0.06%
Thinkink Picturez Ltd.,BOFA SECURITIES EUROPE SA,BSE,Bulk,Purchase,03-04-2024,39.79,600000,0.13%
Grasim Industries Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,28-03-2024,2286,638000,0.10%
Grasim Industries Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,28-03-2024,2286,638000,0.10%
One Point One Solutions Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,28-03-2024,50,3000000,1.17%
Axis Bank Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,26-03-2024,1038,4950000,0.16%
Axis Bank Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,26-03-2024,1038,4950000,0.16%
Dr. Reddy's Laboratories Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,26-03-2024,6184.85,260000,0.03%
Dr. Reddy's Laboratories Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,26-03-2024,6184.85,260000,0.03%
Larsen & Toubro Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,26-03-2024,3672,520000,0.04%
Larsen & Toubro Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,26-03-2024,3672,520000,0.04%
Mahindra & Mahindra Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,26-03-2024,1880,1680000,0.14%
Mahindra & Mahindra Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,26-03-2024,1880,1680000,0.14%
Reliance Industries Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,26-03-2024,2886.5,880000,0.01%
Reliance Industries Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,26-03-2024,2886.5,880000,0.01%
State Bank of India,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,26-03-2024,740.55,5900000,0.07%
State Bank of India,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,26-03-2024,740.55,5900000,0.07%
Infosys Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,22-03-2024,1512,4901000,0.12%
Infosys Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,22-03-2024,1512,599000,0.01%
Infosys Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,22-03-2024,1512,4901000,0.12%
Infosys Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,22-03-2024,1512,599000,0.01%
KP Green Engineering Ltd.,BOFA SECURITIES EUROPE SA,BSE,Bulk,Purchase,22-03-2024,209.66,350000,0.70%
ITC Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,13-03-2024,400.25,20400000,0.16%
Thinkink Picturez Ltd.,BOFA SECURITIES EUROPE SA,BSE,Bulk,Sell,12-03-2024,45.13,196156,0.04%
ICICI Bank Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,05-03-2024,1091,8000000,0.11%
ICICI Bank Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,05-03-2024,1091,8000000,0.11%
Thinkink Picturez Ltd.,BOFA SECURITIES EUROPE SA,BSE,Bulk,Purchase,29-02-2024,78.84,307654,0.06%
Eureka Forbes Ltd.,BOFA SECURITIES EUROPE SA,BSE,Bulk,Purchase,22-02-2024,504.95,1150056,0.59%
Eureka Forbes Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,22-02-2024,504.95,1150056,0.59%
Alpex Solar Ltd.,BOFA SECURITIES EUROPE SA,NSE,Bulk,Purchase,15-02-2024,337.47,220800,0.90%
Mankind Pharma Ltd.,BOFA SECURITIES EUROPE SA,NSE,Block,Purchase,08-02-2024,2107.35,47645,0.01%
ICICI Securities Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,25-01-2024,774,257910,0.08%
Jio Financial Services Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,25-01-2024,239.5,1441606,0.02%
Dabur India Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,24-01-2024,534,924540,0.05%
HDFC Bank Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,24-01-2024,1445,772317,0.01%
ICICI Bank Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Purchase,24-01-2024,999.5,1200000,0.02%
ICICI Bank Ltd.,BOFA SECURITIES EUROPE SA,BSE,Block,Sell,24-01-2024,999.5,1200000,0.02%
